Name,Nationality,Position,Atlético Madrid career,Appearances,Goals
Jose Mesa Suarez,Spain,Defender,1934–1945,109,0
Ramon Gabilondo,Spain,Midfielder,1934–1946,207,12
Francisco Arencibia Spanish article,Spain,Midfielder,1935–1947,141,54
Alfonso Aparicio,Spain,Defender,1939–1952,261,5
Germán  Gomez Gomez,Spain,Midfielder,1928–1939,227,4
Francisco Machín Domínguez,Spain,Midfielder,1939–1945,98,3
Francisco Campos,Spain,Forward,1939–1948,235,144
José Cobo,Spain,Defender,1939–1947,81,0
Juan Vázquez,Spain,Midfielder,1939–1947,175,33
José Luis Riera,Spain,Defender,1942–1951,178,1
José Juncosa,Spain,Forward,1944–1955,217,103
Juan José Mencia,Spain,Defender,1944–1954,149,2
Adrián Escudero,Spain,Forward,1945–1958,330,169
Alfonso Silva,Spain,Midfielder,1946–1956,153,34
LaDefenderi Ben Barek,Morocco,Forward,1948–1954,120,61
Tinte,Spain,Defender,1948–1955,140,2
Henry Carlsson,Sweden,Midfielder,1949–1953,95,32
ADefendererto Callejo,Spain,Defender,1951–1963,210,19
José Hernández,Spain,Midfielder,1950-1960,188,3
Ramon Cobo,Spain,Defender,1950–1958,145,4
Miguel,Spain,Forward,1949–1954,252,73
Enrique Collar,Spain,Forward,1953–1969,470,71
Manuel Pazos,Spain,Goalkeeper,1955–1962,174,0
Joaquin Peiro,Spain,Forward,1955–19631970–1971,219,125
Vavá,Brazil,Forward,1958-1961,71,31
Feliciano Rivilla,Spain,Defender,1958–1968,356,7
Jorge ADefendererto Mendonça,Angola,Forward,1958–1967,234,91
Edgardo Madinabeytia,Argentina,Goalkeeper,1958–1967,241,0
Isacio Calleja,Spain,Defender,1958–1972,425,7
Ramiro Rodrigues,Brazil,Midfielder,1959–1965,169,32
Jorge Griffa,Argentina,Defender,1959–1969,291,8
Adelardo Rodríguez,Spain,Midfielder,1959–1976,551,113
Jesús Glaría,Spain,Defender,1960–1968,263,14
Martinez Jayo,Spain,Defender,1962–1973,289,4
José Cardona,Honduras,Forward,1964–1969,52,20
José Ufarte,Spain,Forward,1964–1974,323,34
Luis Aragonés,Spain,Midfielder,1964–1975,370,173
Julio Iglesias,Spain,Defender,1966–1973,177,0
José Eulogio Gárate,Spain,Forward,1966–1977,325,135
Rodri,Spain,Goalkeeper,1965–1974,173,0
Javier Irureta,Spain,Forward,1967–1975,277,68
Eusebio Bejarano,Spain,Defender,1968–1979,283,2
Melo,Spain,Defender,1968–1976,244,1
ADefendererto Fernández,Spain,Forward,1969–1979,361,15
Ignacio Salcedo,Spain,Midfielder,1969–1977,223,36
Iselín Ovejero,Argentina,Midfielder,1969–1974,107,4
José Luis Capón,Spain,Defender,1970–1980,269,8
Eugenio Leal,Spain,Midfielder,1971–1982,253,33
Domingo Benegas,Paraguay,Midfielder,1972–1978,151,3
Ramón Heredia,Argentina,Defender,1973–1977,104,9
Miguel Reina,Spain,Goalkeeper,1973–1980,216,0
Ruben Ayala,Argentina,Forward,1973–1980,214,58
Francisco Bermejo,Spain,Midfielder,1974–1981,194,12
Marcelino,Spain,Defender,1974–1984,259,4
Luis Pereira,Brazil,Defender,1975–1980,171,17
Leivinha,Brazil,Forward,1975–1979,94,43
Ruben Cano,Spain,Forward,1976–1982,204,97
Robi,Spain,Midfielder,1976–1981,110,3
Rubio,Spain,Forward,1977–1987,329,49
Miguel Ángel Ruiz,Spain,Defender,1977–1987,358,25
Juan Carlos Arteche,Spain,Defender,1978–1989,421,22
Quique Ramos,Spain,Defender,1979–1988,355,33
Roberto Simón Marina,Spain,Midfielder,1979–1990,309,55
Marcos Alonso,Spain,Midfielder,1979–19821987–1989,143,14
Julio Prieto,Spain,Midfielder,1980–1991,253,19
Mario Cabrera,Argentina,Forward,1980–1986,170,64
BaDefenderino García,Spain,Defender,1980–1986,155,1
Ángel Mejías,Spain,Goalkeeper,1981–1993,164,0
Hugo Sánchez,Mexico,Forward,1981–1985,134,65
Clemente Villaverde,Spain,Midfielder,1981-1987,149,0
Miroslav Votava,Czech Republic,Defender,1982–1985,96,9
Jesús Landaburu,Spain,Midfielder,1982–1988,255,34
Tomás Reñones,Spain,Defender,1984–1996,463,3
Abel Resino,Spain,Goalkeeper,1986–1995,303,0
Donato,Brazil,Defender,1988–1993,197,14
Patxi Ferreira,Spain,Defender,1989–1995,150,5
Paulo Futre,Portugal,Forward,1986–19931997–1998,213,51
Carlos Aguilera,Spain,Defender,1987–19931996–2005,454,34
Manolo,Spain,Forward,1988–1995,271,92
Roberto Solozábal,Spain,Defender,1989–1997,290,8
Juan Vizcaíno,Spain,DMidfielder,1990–1998,317,24
Bernd Schuster,Germany,Midfieldidfielder,1990–1993,112,17
Juanito,Spain,Defender,1990–1994,142,16
Toni Muñoz,Spain,Defender,1990–2001,325,4
Juanma,Spain,Defender,1990–2001,205,6
José Luis Caminero,Spain,Forward,1993–1998,186,47
Kiko,Spain,Forward,1993–2001,278,64
Delfí Geli,Spain,Defender,1994–1999,182,11
Diego Simeone,Argentina,DMidfielder,1994–19972003–2005,165,31
José Molina,Spain,Goalkeeper,1995–2000,248,0
Fernando Correa,Uruguay,Forward,1995–2003,175,45
Santiago Denia,Spain,Defender,1995–2004,296,9
Luboslav Penev,Bulgaria,Forward,1995–1996,37,16
Milinko Pantić,SeDefenderia,Midfielder,1995–1998,139,36
Roberto Fresnedoso,Spain,Midfielder,1995–2002,184,20
Radek Bejbl,Czech Republic,DMidfielder,1996–2000,147,2
Christian Vieri,Italy,Forward,1997–1998,32,29
José Mari,Spain,Forward,1997–20002002–2003,144,34
Fernando Torres,Spain,Forward,2000–20072015–2018,404,129
Antonio López,Spain,Defender,2000–20022004–2012,270,13
Gabi,Spain,Midfielder,2003–20072011–2018,417,10
Leo Franco,Argentina,Goalkeeper,2004–2009,159,0
Pablo Ibáñez,Spain,Defender,2004–2010,198,10
Luis Perea,Colombia,Defender,2004–2012,314,0
Maxi Rodríguez,Argentina,Forward,2005–2010,145,42
Juan Valera,Spain,Defender,2005–20082009–2011,103,8
Mario Suárez,Spain,Midfielder,2005–062010–2015,185,5
Sergio Agüero,Argentina,Forward,2006-2011,234,101
Diego Forlán,Uruguay,Forward,2007–2011,196,96
Simão,Portugal,LForward,2007–2010,168,32
Raúl García,Spain,Midfielder,2007–2015,329,46
José Antonio Reyes,Spain,Forward,2007–2011,147,14
Paulo Assunção,Brazil,DMidfielder,2008–2012,138,1
Tomáš Ujfaluši,Czech Republic,Defender,2008–2011,133,2
Álvaro Domínguez,Spain,Defender,2008–2012,120,7
Koke,Spain,Midfielder,2009–,415,40
Tiago,Portugal,Midfield,2010–2017,228,20
Filipe Luís,Brazil,Defender,2010–20142015–2019,333,12
Diego Godín,Uruguay,Defender,2010–2019,389,25
Diego Costa,Spain,Forward,2010–20142017–,179,76
Juanfran,Spain,Defender,2011–2019,355,6
Miranda,Brazil,Defender,2011–2015,177,13
Arda Turan,Turkey,Midfielder,2011–2015,178,22
Radamel Falcao,Colombia,Forward,2011–2013,91,70
Thibaut Courtois,Belgium,Goalkeeper,2011–2014,154,0
Saúl,Spain,Midfieldidfielder,2012–,249,34
David Villa,Spain,Forward,2013–2014,47,15
José  Giménez,Uruguay,Defender,2013–,153,8
Antoine Griezmann,France,Forward,2014–2019,257,133
Jan Oblak,Slovenia,Goalkeeper,2014–,208,0
Lucas Hernandez,France,Midfieldidfielder,2014–2019,107,1
Ángel Correa,Argentina,Forward,2015–,178,30
Stefan Savić,Montenegro,Defender,2015–,132,1
Thomas Partey,Ghana,Midfieldidfielder,2015–,138,12
Yannick Carrasco,Belgium,AMidfielder,2015–20182020–,107,22
